Auteur,Degré,Communauté
"Chandraker, Manmohan",4,632
Mathias Lécuyer,4,296
Vaggelis Atlidakis,4,296
Roxana Geambasu,4,296
Daniel J. Hsu,4,296
Casper Kaae Sønderby,4,634
José Juan Almagro Armenteros,4,634
Arun L W Bokde,4,769
Janaina Mourão-Miranda,4,769
Patrick F. Riley,4,4
Chiyuan Zhang,4,4
Samy Bengio,4,4
Moritz Hardt,4,4
Deepak Pathak,4,6
Markus Hagenbuchner,4,48
Gabriele Monfardini,4,48
Ronghang Hu,4,6
Christine Born,4,769
Harald Hampel,4,769
Martin Stetter,4,769
Melody Y. Guan,4,4
Chuxu Zhang,4,70
Chao Huang,4,70
Nitesh V. Chawla,4,70
Nicolas Usunier,4,44
Gábor London,4,468
Ruth Nussinov,4,468
Signe Bray,4,471
Xu Cui,4,471
Daniel M Bryant,4,471
Bee Lim,4,56
Sanghyun Son,4,56
Heewon Kim,4,56
Matt Gardner,4,44
Nelson F. Liu,4,44
Matthew Peters,4,44
Chao-Min Chiu,4,54
Allan L Reiss,4,471
"Guo, Xiaoxiao",4,317
"Oh, Junhyuk",4,317
"Lewis, Richard L.",4,317
Satinder P. Singh,4,317
Yun Liu,4,81
Peter Csermely,4,468
Tamás Korcsmáros,4,468
Huba J M Kiss,4,468
Lars M. Mescheder,4,4
Michael Oechsle,4,4
Michael Niemeyer,4,4
Dirk Gorissen,4,771
Ivo Couckuyt,4,771
Piet Demeester,4,771
Tom Dhaene,4,771
Karel Crombecq,4,771
K Luan Phan,4,47
Satoru Hayasaka,4,47
Keith J Worsley,4,47
Thomas E Nichols,4,47
Kai Wang,4,81
Daniel Povey,4,310
Sanjeev Khudanpur,4,310
Feng Bao,4,773
Yue Deng,4,773
Youyong Kong,4,773
Zhiquan Ren,4,773
Qionghai Dai,4,773
Piotr Bojanowski,4,44
Edouard Grave,4,44
Yann Dauphin,4,44
Cihang Xie,4,11
Jianyu Wang,4,11
Zhishuai Zhang,4,11
Zifeng Wu,4,178
Sandeep Subramanian,4,44
Kazuya Kawakami,4,44
Wei Hu,4,126
Zhiyuan Li,4,126
Ruosong Wang,4,126
tao mei,4,775
yingwei pan,4,775
ting yao,4,775
houqiang li,4,775
yong rui,4,775
Dimitrios Pantazis,4,480
Richard M Leahy,4,480
Merrill Warkentin,4,481
Erik Cambria,4,482
Soujanya Poria,4,482
Jure Zbontar,4,4
Li Jing,4,4
Stéphane Deny,4,4
J D Cohen,4,619
V van Veen,4,619
M M Botvinick,4,619
V A Stenger,4,619
C S Carter,4,619
philipp moritz,4,4
sergey levine,4,4
pieter abbeel,4,4
Zhun Zhong,4,30
Shaozi Li,4,30
S M Smith,4,303
E. W. T. Ngai,4,304
Yong Hu,4,304
Y. H. Wong,4,304
Yijun Chen,4,304
Xin Sun,4,304
Zhou Ren,4,11
François Tadel,4,480
Sylvain Baillet,4,480
John C Mosher,4,480
john schulman,4,4
Shujuan Yi,4,91
Yang Lu,4,91
Yong Zhang,4,91
James Bradbury,4,249
Yongzhen Huang,4,178
D. J. Anderson,4,490
K. D. Wise,4,490
J. F. Hetke,4,490
D. R. Kipke,4,490
K. Najafi,4,490
Adam Hampshire,4,608
Samuel R Chamberlain,4,608
Martin M Monti,4,608
John Duncan,4,608
Adrian M Owen,4,608
Alan G. Sanfey,4,787
James K Rilling,4,787
Jessica A. Aronson,4,787
Leigh E. Nystrom,4,787
Jonathan D. Cohen,4,787
Ping Wang,4,107
Xiao Lu,4,107
Dusit Niyato,4,107
Dong In Kim,4,107
R A P Roche,4,300
E A Stein,4,300
De Cheng,4,227
Yihong Gong,4,227
Sanping Zhou,4,227
Jinjun Wang,4,227
Nanning Zheng,4,227
Michal Kosinski,4,790
Yoram Bachrach,4,790
Thore Graepel,4,790
Pushmeet Kohli,4,790
David Stillwell,4,790
Lu Zhang,4,249
jiaxiang wu,4,302
yuhang wang,4,302
qinghao hu,4,302
jian cheng,4,302
C F Beckmann,4,303
M De Luca,4,303
N De Stefano,4,303
P M Matthews,4,303
Hwanjo Yu,4,597
Zhiding Yu,4,224
Yike Guo,4,595
Chanyoung Park,4,597
Dong Hyun Kim,4,597
Jinoh Oh,4,597
Sungyoung Lee,4,597
Jarrod R. McClean,4,497
Sergio Boixo,4,497
Vadim N. Smelyanskiy,4,497
Ryan Babbush,4,497
Hartmut Neven,4,497
Aleksandar Bojchevski,4,500
Jiequn Han,4,501
cong leng,4,302
Hong-Jian Xue,4,594
Xinyu Dai,4,594
Jianbing Zhang,4,594
Shujian Huang,4,594
Jiajun Chen,4,594
Guang Yang,4,595
Hao Dong,4,595
Fangde Liu,4,595
Yuanhan Mo,4,595
Auke Jan Ijspeert,4,4
Jun Nakanishi,4,4
Karl John Friston,4,592
F. Herrera,4,299
F. Hoffmann,4,299
L. Magdalena,4,299
H Garavan,4,300
T J Ross,4,300
K Murphy,4,300
Weinan E,4,501
David I. Shuman,4,4
Jannick Dyrløv Bendtsen,4,634
David Widdick,4,634
Tracy Palmer,4,634
Søren Brunak,4,634
W. Dale Stevens,4,204
Jon P. Chamberlain,4,204
Adrian W. Gilmore,4,204
Daniel L. Schacter,4,204
Linfeng Zhang,4,501
Han Wang,4,501
Roberto Car,4,501
alexander binder,4,298
wojciech samek,4,298
klausrobert muller,4,298
F. Gomide,4,299
O. Cordón,4,299
Thomas H. B. FitzGerald,4,592
Francesco Rigoli,4,592
Philipp Schwartenbeck,4,592
Giovanni Pezzulo,4,592
Kenta Nakai,4,505
Satoru Miyano,4,505
Jason Ku,4,297
Melissa Mozifian,4,297
Jungwook Lee,4,297
Ali Harakeh,4,297
Steven Lake Waslander,4,297
Kuldeep Kulkarni,4,798
Frank L. Lewis,4,453
Dmitrii Podoprikhin,4,589
Pavel Izmailov,4,589
Timur Garipov,4,589
Dmitry P. Vetrov,4,589
Andrew Gordon Wilson,4,589
Mikael Henaff,4,4
Michaël Mathieu,4,4
Gérard Ben Arous,4,4
sebastian bach,4,298
Ping Liu,4,30
Ziwei Wang,4,30
Zhilan Hu,4,30
Baoyuan Liu,4,507
Min Wang,4,507
Hassan Foroosh,4,507
Marshall F. Tappen,4,507
Marianna Pensky,4,507
Hao Luo,4,508
Youzhi Gu,4,508
Xingyu Liao,4,508
Shenqi Lai,4,508
Hideo Bannai,4,505
Yoshinori Tamada,4,505
Osamu Maruyama,4,505
Marios Anthimopoulos,4,292
Stergios Christodoulidis,4,292
Mo Zhou,4,792
Zhenxing Niu,4,792
Le Wang,4,792
Gang Hua,4,792
Qing Zhao,4,70
gregoire montavon,4,298
Heiko Hoffmann,4,4
Meng Wang,4,249
Fuli Feng,4,249
Anish Athalye,4,4
Suhas Lohit,4,798
Pavan K. Turaga,4,798
Ronan Kerviche,4,798
Amit Ashok,4,798
Lukas Ebner,4,292
Andreas Christe,4,292
Stavroula G. Mougiakakou,4,292
Wei Jiang,4,508
Bruce R Rosen,4,245
Matthew S Rosen,4,245
Grégoire Mesnil,4,76
Pin-Yu Chen,4,6
Jinfeng Yi,4,6
Bo Zhu,4,245
Jeremiah Z Liu,4,245
Stephen F Cauley,4,245
Elif Derya íbeyli,4,803
Nihal Fatma Güler,4,803
İnan Güler,4,803
GülerNihal Fatma,4,803
íbeyliElif Derya,4,803
Yanhong Luo,4,804
Zhaopeng Tu,4,126
Xiaohua Liu,4,126
Dave Steinkraus,4,71
Patrice Y. Simard,4,71
"Platt, John C.",4,71
PY Simard,4,71
R. D. Hoge,4,584
T. J. Huppert,4,584
S. G. Diamond,4,584
M. A. Franceschini,4,584
Jinxing Hao,4,6
Feng Jia,4,582
Jing Lin,4,582
Sunil K. Narang,4,4
Antonio Ortega,4,4
"Graves, Alex",4,10
Yonghong Zeng,4,107
Anh Tuan Hoang,4,107
"Pritzel, Alexander",4,10
Michael Montemerlo,4,3
Martha Pollack,4,3
Nicholas Roy,4,3
Sunjeong Park,4,575
Junmo Kim,4,575
Àgata Lapedriza,4,6
Chia-Jung Hsu,4,250
Wun-Hwa Chen,4,250
Li Wan,4,4
Ewan MacArthur,4,75
Tim Rocktäschel,4,10
Karl Moritz Hermann,4,10
Jiahui Yu,4,76
Yuning Jiang,4,76
Zhimin Cao,4,76
Yonghui Wu,4,4
"Alistarh, Dan",4,215
"Grubic, Demjan",4,215
"Li, Jerry",4,215
"Vojnovic, Milan",4,215
Matthew D. Zeiler,4,4
xi wu,4,70
Dong Wang,4,28
Pingping Zhang,4,28
Hongyu Wang,4,28
Xiang Ruan,4,28
Xiaoxiao Li,4,28
Dominique Maniry,4,151
Sebastian Bosse,4,151
Thomas Wiegand,4,151
Heechul Jung,4,575
Sihaeng Lee,4,575
Junho Yim,4,575
Mei Yuan,4,851
Yuting Wu,4,851
Shaopeng Dong,4,851
Li Lin,4,851
Yingqi Liu,4,851
JC Platt,4,71
Elizabeth A. Boyle,4,75
Thomas M. Connolly,4,75
Siqi Sun,4,522
Renyu Zhang,4,522
Jinbo Xu,4,522
Xuanyi Dong,4,30
Yanwei Fu,4,30
Michael D Greicius,4,61
Jiajun Wu,4,564
Donglai Wei,4,564
William T. Freeman,4,564
Jianming Zhang,4,175
Jonathan Brandt,4,175
Xiaohui Shen,4,175
Stan Sclaroff,4,175
Baian Chen,4,564
Tianfan Xue,4,564
Soushan Wu,4,250
Rama Chellappa,4,251
Kaustubh Supekar,4,61
Daniel Rubin,4,61
Mark Musen,4,61
"Pu, Hongming",4,499
"Wang, Feicheng",4,499
"Hu, Zhiqiang",4,499
Ruiyuan Li,4,203
Xiuwen Yi,4,203
Alexander G Huth,4,255
Wendy A de Heer,4,255
Thomas L Griffiths,4,255
Frédéric E Theunissen,4,255
dzmitry bahdanau,4,40
jan chorowski,4,40
dmitriy serdyuk,4,40
philemon brakel,4,40
Xianfeng Gu,4,81
Yalin Wang,4,81
Tony F. Chan,4,81
Shing-Tung Yau,4,81
Florian Kurth,4,18
agata lapedriza garcia,4,6
Thomas Hainey,4,75
James M. Boyle,4,75
"Lu, Zhou",4,499
Manohar Paluri,4,6
Gerard R. Ridgway,4,18
Matthew A. Webster,4,18
Ning Zhang,4,6
Lubomir Bourdev,4,6
James T. Wilson,4,78
Wenlin Chen,4,78
Dandelion Mané,4,4
Anthony N. Price,4,52
Svetlana Lazebnik,4,126
Danilo Bzdok,4,18
Luc Van Gool,4,400
Pengyuan Lv,4,81
Cong Yao,4,81
Abhronil Sengupta,4,822
Yuting Ye,4,822
Robert Wang,4,822
Chiao Liu,4,822
Kaushik Roy,4,822
B. T. Thomas Yeo,4,120
Koenraad Van Leemput,4,120
Dmitry Podoprikhin,4,552
"Novikov, Alexander",4,552
"Osokin, Anton",4,552
"Vetrov, Dmitry P.",4,552
"Podoprikhin, Dmitrii",4,552
Himalaya Jain,4,122
Aaron Courville,4,3
Tuan-Hung Vu,4,122
Maxime Bucher,4,122
Patrick Pérez,4,122
Polina Golland,4,120
Tien-Ju Yang,4,24
Hang Su,4,85
Muhammad Ghifary,4,531
W. Bastiaan Kleijn,4,531
Mengjie Zhang,4,531
David Balduzzi,4,531
Wen Li,4,531
Denis Yarats,4,44
Matthias Treder,4,151
Will D. Penny,4,247
Jean Daunizeau,4,247
Rosalyn J. Moran,4,247
Daxiang Dong,4,330
Hua Wu,4,330
Dianhai Yu,4,330
Haifeng Wang,4,330
Klaas Enno Stephan,4,247
Fernando Almeida,4,267
Telmo Matos,4,267
José Reis,4,267
António Cerdeira,4,267
Paul K. Joseph,4,80
N. Kannathal,4,80
Choo Min Lim,4,80
Saining Xie,4,81
Minghui Liao,4,81
Wenyu Liu,4,81
Liu D,4,536
Wang ZW,4,536
Yang JC,4,536
Han W,4,536
Antonietta Pepe,4,839
Elaheh Moradi,4,839
Jonas Gehring,4,44
Peter W. Battaglia,4,10
"Lai, Matthew",4,10
"Jimenez Rezende, Danilo",4,10
Sijie Song,4,10
Jiaying Liu,4,10
Huang T,4,536
Jen Hong Tan,4,80
Jianbo Yang,4,274
Minh Nhut Nguyen,4,274
Phyo Phyo San,4,274
Xiaoli Li,4,274
Shonali Krishnaswamy,4,274
Kyle Hundman,4,840
Valentino Constantinou,4,840
Christopher Laporte,4,840
Ian Colwell,4,840
Tom Söderström,4,840
Ethan Perez,4,3
Florian Strub,4,3
Harm de Vries,4,3
Vincent Dumoulin,4,3
Xia Da,4,3
Beth L. Chen,4,16
Lav R. Varshney,4,16
Eric Paniagua,4,16
David H. Hall,4,16
Ioannis Tsamardinos,4,378
Douglas P. Hardin,4,378
Shawn Levy,4,378
scott reed,4,9
Nitish Srivastava,4,4
Thomas Esch,3,400
kaiming he,3,0
Fred D. Davis,3,7
Gordon B. Davis,3,7
Viswanath Venkatesh,3,7
Michael G. Morris,3,7
"Sun, Jian",3,6
Yoav Goldberg,3,249
bing xiang,3,380
bowen zhou,3,380
Chonglin Sun,3,30
Chunting Zhou,3,30
Francis C. M. Lau,3,30
Francesco Camastra,3,382
Maurizio Filippone,3,382
Francesco Masulli,3,382
Stefano Rovetta,3,382
Abhishek Chaurasia,3,156
Sangpil Kim,3,156
Xiaokang Yang,3,81
Reza Shokri,3,154
Makoto Kaneko,3,707
Akira Otsuka,3,707
Jun Du,3,271
Yao Lu,3,842
N. Asokan,3,842
Ying Zhu,3,68
Shihui Han,3,68
DeTone Daniel,3,533
Sarlin Paul-Edouard,3,533
Malisiewicz Tomasz,3,533
Rabinovich Andrew,3,533
Alexei Baevski,3,44
Yong Xu,3,271
Li-Rong Dai,3,271
Natasha Lepore,3,839
Lukasz Kurgan,3,841
Wojciech Stach,3,841
Witold Pedrycz,3,841
Adrian Sampson,3,534
Hadi Esmaeilzadeh,3,534
Luis Ceze,3,534
Doug Burger,3,534
Sergey M. Plis,3,3
Yu Sun,3,78
Hehui Zheng,3,542
Sirui Xie,3,542
Chunxiao Liu,3,542
Wenfei Cao,3,6
Zongben Xu,3,6
Jelmer M. Wolterink,3,464
Tim Leiner,3,464
"Shin, Hanul",3,270
"Kim, Jaehong",3,270
"Kim, Jiwon",3,270
Jiafeng Guo,3,547
Yixing Fan,3,547
Qingyao Ai,3,547
W. Bruce Croft,3,547
Chunhua Shen,3,269
Fayao Liu,3,269
Guosheng Lin,3,269
Ian D. Reid,3,269
Xizhou Zhu,3,67
Stephen Lin,3,67
"Lee, Jung Kwon",3,270
Stephan Zheng,3,4
Arthur W Toga,3,839
Eileen Luders,3,839
Chin-Hui Lee,3,271
Steffen Schneider,3,44
Tushar Krishna,3,24
Alexander Toshev,3,249
Katerina Fragkiadaki,3,4
Panna Felsen,3,4
jacob andreas,3,829
marcus rohrbach,3,829
trevor darrell,3,829
dan klein,3,829
Juergen Schmidhuber,3,10
Hongwei Ng,3,831
Viet Dung Nguyen,3,831
Vassilios Vonikakis,3,831
Stefan Winkler,3,831
Francis Bach,3,6
Julien Mairal,3,6
Guillermo Sapiro,3,6
Yining Li,3,28
Gabor Angeli,3,249
Christopher Potts,3,249
Guinevere F. Eden,3,276
Peter E. Turkeltaub,3,276
Karen M. Jones,3,276
Thomas A. Zeffiro,3,276
Donald G. McLaren,3,277
Michele L. Ries,3,277
Guofan Xu,3,277
Sterling C. Johnson,3,277
Liu Liu,3,30
Michele Nappi,3,279
Daniel Riccio,3,279
Gabriele Sabatino,3,279
Erik G. Learned-Miller,3,85
Han Chen,3,826
Manoj Alwani,3,826
Michael Ferdman,3,826
Peter Milder,3,826
Subhransu Maji,3,85
Evangelos Kalogerakis,3,85
Andreas Ess,3,400
Long Wen,3,281
Xinyu Li,3,281
Liang Gao,3,281
Yuyan Zhang,3,281
Mykola Lavreniuk,3,282
Nataliia Kussul,3,282
Sergii Skakun,3,282
Andrii Shelestov,3,282
Chen Huang,3,28
Rasmus Rothe,3,400
Guido F. Montúfar,3,22
Qiao Liu,3,821
Yifu Zeng,3,821
Refuoe Mokhosi,3,821
Haibin Zhang,3,821
Xiao Ding,3,114
Yue Zhang,3,114
Junwen Duan,3,114
Angela R Laird,3,18
Udo Siewert,3,3
Elizabeth Bullitt,3,29
C STAM,3,825
M VANDENHEUVEL,3,825
M BOERSMA,3,825
H HULSHOFFPOL,3,825
Lubomir D. Bourdev,3,30
Andrea F. Abate,3,279
Shiguang Shan,3,526
Xilin Chen,3,526
Andreas Deistung,3,528
Ferdinand Schweser,3,528
Berengar Wendel Lehr,3,528
Jürgen Rainer Reichenbach,3,528
Petri Mähönen,3,107
Xiaosheng Si,3,283
Changhua Hu,3,283
Jianxun Zhang,3,283
Ruiqi Guo,3,126
Thomas Naselaris,3,255
Shinji Nishimoto,3,255
Radu Timofte,3,400
Marc Brockschmidt,3,3
Tian Qi Chen,3,3
Yulia Rubanova,3,3
Jeroen Lichtenauer,3,76
Mohammad Soleymani,3,76
Thierry Pun,3,76
Cormac Herley,3,263
Joseph Bonneau,3,263
Paul C.  van Oorschot,3,263
Frank Stajano,3,263
Marcel Prastawa,3,29
Rebecca Thomson,3,556
Zheng Rong Yang,3,556
Philip McNeil,3,556
Robert Esnouf,3,556
Kendrick N Kay,3,255
Antonio Hernando,3,845
JesúS Bernal,3,845
Zhihong Zeng,3,76
Glenn I. Roisman,3,76
Peng Zheng,3,77
Zhong-Qiu Zhao,3,77
Shou-tao Xu,3,77
Xindong Wu,3,77
Melissa Ellamil,3,820
Mark Beeman,3,820
Kalina Christoff,3,820
daniel tarlow,3,3
yujia li,3,3
marc brockschmidt,3,3
Daniel Tarlow,3,3
Yujia Li,3,3
Dawen Liang,3,4
Rahul G. Krishnan,3,4
Tony Jebara,3,4
Haomiao Liu,3,526
Ruiping Wang,3,526
Alexis Battle,3,249
Rajat Raina,3,249
Fei Tian,3,126
Renqian Luo,3,126
Rolf Pfeifer,3,560
Giulio Sandini,3,560
Mario Geiger,3,83
Jonas Köhler,3,83
Chuan Guo,3,78
Fernando Ortega,3,845
JesúS Bobadilla,3,845
Hongye Su,3,816
Jian Chu,3,816
Peter H. Jin,3,6
Charles Dobson,3,820
Christine D Wilson-Mendenhall,3,563
Wendy Hasenkamp,3,563
Erica Duncan,3,563
Lawrence W Barsalou,3,563
Vishal M. Patel,3,251
A P Leff,3,438
M Brett,3,438
C Rorden,3,438
Giorgio Metta,3,560
Max Lungarella,3,560
Yangyan Li,3,19
Nicolas Boulanger-Lewandowski,3,3
Anna B Smith,3,572
Katya Rubia,3,572
Michael J Brammer,3,572
Eric Taylor,3,572
B Modrek,3,810
C Grasso,3,810
C Lee,3,810
Robert J. Full,3,811
daniel e koditschek,3,811
John Guckenheimer,3,811
Chin-Chuan Han,3,815
Hsu-Liang Cheng,3,815
Chih-Lung Lin,3,815
Kuo-Chin Fan,3,815
Peng Shi,3,816
Zheng-Guang Wu,3,816
Senén Barro,3,73
Dinani Gomes Amorim,3,73
Dídac Surís,3,139
Joan Serrà,3,139
Marius Miron,3,139
Jianhua Zou,3,6
Christophe Destrieux,3,120
Anders Dale,3,120
Eric Halgren,3,120
Shyang-Lih Chang,3,288
Yun-Chung Chung,3,288
Sei-Wang Chen,3,288
Weiran Wang,3,519
Karen Livescu,3,519
Jeff A. Bilmes,3,519
Yuji Kaneda,3,571
Ivana Maric,3,88
Sudhir Srinivasa,3,88
Robert E. Smith,3,327
Li-Shien Chen,3,288
Chong Zhang,3,854
Pin Lim,3,854
A. K. Qin,3,854
Katsuhiko Mori,3,571
Masakazu Matsugu,3,571
Yusuke Mitari,3,571
J Stallkamp,3,286
M Schlipsing,3,286
J Salmen,3,286
C Igel,3,286
Eva Cernadas,3,73
Manuel Fernández Delgado,3,73
"Luo, Wenjie",3,3
"Urtasun, Raquel",3,3
Erik Axell,3,178
Geert Leus,3,178
Erik G. Larsson,3,178
Eli Shechtman,3,6
Gou Jianping,3,576
Yu Baosheng,3,576
Maybank Stephen John,3,576
Tao Dacheng,3,576
Amir Shahroudy,3,6
Tian-Tsong Ng,3,6
Zheng Xu,3,249
Gavin Taylor,3,249
Tom Goldstein,3,249
Andrea Goldsmith,3,88
Jian Shen,3,283
Kay Chen Tan,3,854
"Heess, Nicolas",3,10
"Mnih, Volodymyr",3,10
E. C.Y. Peh,3,107
Jacques-Donald Tournier,3,327
Dong Tian,3,512
Meital Zilberstein,3,249
Yanru Qu,3,283
Weinan Zhang,3,283
A Resch,3,810
Isabelle Guyon,3,577
Steve R. Gunn,3,577
Asa Ben-hur,3,577
Gideon Dror,3,577
"Li, Yujia",3,3
Florin Dolcos,3,146
Reiko Graham,3,146
Lars Nyberg,3,146
Kristian Henrickson,3,858
Alexa Morcom,3,199
Lihua Huang,3,6
Kevin P. Murphy,3,11
Xiaolin Hu,3,28
Olivier J. Bernier,3,807
Raphaël Féraud,3,807
Jean-Emmanuel Viallet,3,807
Michel Collobert,3,807
Dai Quoc Nguyen,3,808
Tu Dinh Nguyen,3,808
Dat Quoc Nguyen,3,808
Dinh Q. Phung,3,808
Andy Schuetz,3,354
Edward Choi,3,354
Jimeng Sun,3,354
Aditya Chattopadhyay,3,243
Anirban Sarkar,3,243
Jian Yang,3,28
Beibei Ren,3,525
Keng Peng Tee,3,525
Tong Heng Lee,3,525
"Zhu, Han",3,244
"Wang, Jianmin",3,244
"Jordan, Michael I.",3,244
Derong Liu,3,804
David Meunier,3,199
Uri Alon,3,249
Eran Yahav,3,249
Zhiyong Cui,3,858
Ruimin Ke,3,858
Chen Feng,3,512
Shuguang Cui,3,178
Zhi Quan,3,178
Ali H. Sayed,3,178
Yaoqing Yang,3,512
Yiru Shen,3,512
M Ding,3,294
M Kamiński,3,294
W A Truccolo,3,294
S L Bressler,3,294
AS Ecker,3,96
Jun Ding,3,11
Hongwei Liu,3,11
Mengyuan Huang,3,11
Vineeth N. Balasubramanian,3,243
"Long, Mingsheng",3,244
Gang Li,3,76
Xie Chen,3,76
Qiang Liu,3,178
Shu Wu,3,178
Gorka Labaka,3,3
Mikel Artetxe,3,3
Eneko Agirre,3,3
El-Sayed A. El-Dahshan,3,800
Heba M. Mohsen,3,800
Kenneth Revett,3,800
Abdel-Badeeh M. Salem,3,800
alexander s ecker,3,96
l a gatys,3,96
matthias bethge,3,96
charles elkan,3,110
randall wetzell,3,110
Donald J. Patterson,3,295
Lin Liao,3,295
Yinhai Wang,3,858
Maxime Oquab,3,3
Josef Sivic,3,3
 Dong Yu,3,50
c lawrence zitnick,3,239
sean bell,3,239
kavita bala,3,239
ross girshick,3,239
Ye Li,3,6
Thomas R Knösche,3,587
Alfred Anwander,3,587
Prantik Howlader,3,243
J. G. Andrews,3,797
Dieter Fox,3,295
Henry Kautz,3,295
Kexin Pei,3,296
Yuchi Tian,3,296
Baishakhi Ray,3,296
Lijun Wang,3,28
Deuk Hee Park,3,503
Hyea Kyeong Kim,3,503
Il Young Choi,3,503
Daesik Hong,3,797
Bhaskar D. Rao,3,238
Shane F. Cotter,3,238
Kjersti Engan,3,238
Maxime Descoteaux,3,587
Rachid Deriche,3,587
Yifan Zhang,3,11
Jae Kyeong Kim,3,503
Harrison Edwards,3,445
Yuri Burda,3,445
Oleg Klimov,3,445
Anton Slesarev,3,237
Artem Babenko,3,237
Alexander Chigorin,3,237
Victor S. Lempitsky,3,237
Mohammad Ganjtabesh,3,181
Chengyao Shen,3,796
Xun Huang,3,796
Xavier Boix,3,796
Qi Zhao,3,796
Hano Wang,3,797
Jemin Lee,3,797
Anna Liu,3,593
Hanqing Lu,3,11
Qianru Sun,3,249
Yaoyao Liu,3,249
Yiping Lu,3,864
Zichao Long,3,864
Xianzhong Ma,3,864
Bin Dong,3,864
J Decety,3,866
Shengyong Ding,3,542
Guangrun Wang,3,542
Hongyang Chao,3,542
Kenneth Kreutz-Delgado,3,238
 Li Deng,3,50
A. Acero,3,50
Lei Shi,3,11
Rickard Sandberg,3,793
Torben Schneider,3,99
hongying zhang,3,99
Claudia A Wheeler-Kingshott,3,99
Daniel C Alexander,3,99
Ming Cheng,3,522
Shangkai Gao,3,522
Dingfeng Xu,3,522
Changshui Zhang,3,522
Zhonglin Lin,3,522
Tommi S. Jaakkola,3,596
Hoda El-Sayed,3,231
Mohamed Belal,3,231
Jacky Keung,3,593
Sadeka Islam,3,593
Kevin Lee,3,593
Ortiz Jose Javier Gonzalez,3,791
Frankle Jonathan,3,791
Guttag John,3,791
Bin Fan,3,645
Yongcheng Liu,3,645
Daniel Ramsköld,3,793
Eric T Wang,3,793
Christopher B Burge,3,793
Abdullah Almojel,3,231
Jafaar Gaber,3,231
Ankur P. Parikh,3,4
Oscar Täckström,3,4
Dipanjan Das 0001,3,4
Venkat Chandrasekaran,3,4
Pablo A. Parrilo,3,4
Alan S. Willsky,3,4
Zachary Chase Lipton,3,110
Randall C. Wetzel,3,110
A.K. Qin,3,107
P.N. Suganthan,3,107
T Chaminade,3,866
J Grèzes,3,866
A N Meltzoff,3,866
Ken Chatfield,3,10
Blalock Davis,3,791
Hsin-Kai Wu,3,104
Silvia Wen-Yu Lee,3,104
Hsin-Yi Chang,3,104
Sinisa Pajevic,3,230
Markus Diesmann,3,601
Davide Boscaini,3,4
Jyh-Chong Liang,3,104
Andrew Ilyas,3,4
Logan Engstrom,3,4
Jessy Lin,3,4
Jing-Ru Zhang,3,493
Jun Zhang,3,493
Tat-Ming Lok,3,493
Michael R. Lyu,3,493
Jia Guo,3,62
Jiankang Deng,3,62
Niannan Xue,3,62
Stefanos Zafeiriou,3,62
Meng Yang,3,224
"Santurkar, Shibani",3,226
"Tsipras, Dimitris",3,226
"Ilyas, Andrew",3,226
"Madry, Aleksander",3,226
Hongwei Wang,3,611
Minyi Guo,3,611
Anyi Rao,3,604
Javid Ebrahimi,3,604
Daniel Lowd,3,604
Dejing Dou,3,604
Deniz Yuret,3,4
Jonathan May,3,4
Kevin Knight,3,4
h d cheng,3,108
x h jiang,3,108
yijun sun,3,108
jingli wang,3,108
Thomas Natschläger,3,66
Gaurav Srivastava,3,61
Michael D. Greicius,3,61
David Nahamoo,3,4
Michael Picheny,3,4
Kenneth O. Stanley,3,63
Carolina Parada,3,4
Hongbing Jiang,3,6
Ruoyu Li,3,522
Feiyun Zhu,3,522
Junzhou Huang,3,522
Joshua Achiam,3,4
Aviv Tamar,3,4
Craig Partridge,3,483
M. Shamim Kaiser,3,786
Mufti Mahmud,3,786
Amir Hussain,3,786
Stefano Vassanelli,3,786
Thorsten Dickhaus,3,151
David D. Clark,3,483
J. Christopher Ramming,3,483
John T. Wroclawski,3,483
Eunsol Choi,3,44
Mandar Joshi,3,44
Daniel S. Weld,3,44
Alok Aggarwal,3,4
Yanping Huang,3,4
Christos-nikolaos Anagnostopoulos,3,612
I. E. Anagnostopoulos,3,612
Vassilis Loumos,3,612
Eleftherios Kayafas,3,612
Nicolas Scheffer,3,614
Yun Lei,3,614
Luciana Ferrer,3,614
Mitchell McLaren,3,614
Bo Yang,3,617
Xiao Fu,3,617
David Gefen,3,481
Paul A. Pavlou,3,481
Gregory M. Rose,3,481
Luheng He,3,44
Marta Kwiatkowska,3,479
Xiaowei Huang,3,479
Min Wu,3,479
Daniel Garcia-Romero,3,310
Nicholas D. Sidiropoulos,3,617
Mingyi Hong,3,617
"Klambauer, Günter",3,112
"Unterthiner, Thomas",3,112
"Mayr, Andreas",3,112
"Hochreiter, Sepp",3,112
Mohammed Yeasin,3,625
Noel Codella,3,625
Xueyun Chen,3,645
Mark R Symms,3,230
Mara Cercignani,3,230
Daniel H. Friend,3,776
Ryan W. Thomas,3,776
Luiz A. Dasilva,3,776
Allen B. Mackenzie,3,776
Darren R. Gitelman,3,247
William D. Penny,3,247
Karl J. Fristone,3,247
Bowen Baker,3,220
Otkrist Gupta,3,220
Nikhil Naik,3,220
Ramesh Raskar,3,220
David Snyder,3,310
Seyed-Mohsen Moosavi-Dezfooli,3,4
B B Avants,3,59
C L Epstein,3,59
M Grossman,3,59
J C Gee,3,59
Mingsheng Long,3,4
Yue Cao,3,4
