Auteur,Degré,Communauté
Keith Bonawitz,8,68
Yelong Shen,8,76
"Blundell, Charles",8,10
Vince D. Calhoun,8,3
Xi Chen,8,4
Hui Jiang,8,4
George Papandreou,8,11
Mubeena Mirza,8,712
David W. Shattuck,8,712
David Vázquez,8,3
Phillip Isola,8,6
Yurong Liu,8,91
Nianyin Zeng,8,91
Alessandro Giusti,8,10
Hagen Soltau,8,4
Christian Theobalt,8,455
Dan Casas,8,455
Weipeng Xu,8,455
Hans-Peter Seidel,8,455
Mohammad Shafiei,8,455
Helge Rhodin,8,455
Oleksandr Sotnychenko,8,455
Fernando Calamante,8,327
Luis A. Plana,8,329
Steve Temple,8,329
Vivek Singh,8,18
June Sic Kim,8,18
Arthur W. Toga,8,712
Robert M. Bilder,8,712
Russell A. Poldrack,8,712
Katherine Narr,8,712
Georges Salamon,8,712
Cornelius Hojatkashani,8,712
Vitria Adisetiyo,8,712
Wei Li,8,70
Peter J. Liu,8,4
Srinath Sridhar,8,455
Dushyant Mehta,8,455
Shahram Izadi,8,444
Emma Berry,8,444
Steve Hodges,8,444
Lyndsay Williams,8,444
charles w monroe,8,443
L-M Duan,8,443
Guido Gerig,8,29
Sean Ho,8,29
Sun I Kim,8,18
Jong Min Lee,8,18
David MacDonald,8,18
Yasser Ad-Dab'bagh,8,18
Jason Lerch,8,18
Jun Ki Lee,8,18
Ken Wood,8,444
Alan Connelly,8,327
S. S. Iyengar,8,431
M-S Chang,8,443
Shuicheng Yan,8,26
Min Lin,8,26
Jimei Yang,8,249
Lior Wolf,8,30
G-D Lin,8,443
J K Freericks,8,443
E E Edwards,8,443
R Islam,8,443
S Korenblit,8,443
kinam kim,8,443
Narinder Kapur,8,444
Gavin Smyth,8,444
Alex Butler,8,444
James Srinivasan,8,444
Chen Zhang,8,133
Qi Guo,8,42
Shaoli Liu,8,42
Huiying Lan,8,42
Shijin Zhang,8,42
Sangdoo Yun,8,105
Dongyoon Han,8,105
Shu-Ching Chen,8,431
Mei-Ling Shyu,8,431
Maria E. Presa Reyes,8,431
Yudong Tao,8,431
Haiman Tian,8,431
Yilin Yan,8,431
Samira Pouyanfar,8,431
Won-Yeol Lee,8,23
Zhe Lin,8,175
Paolo Ienne,8,42
Robert Fasthuber,8,42
Myle Ott,8,44
Stephen W. Keckler,8,24
Brucek Khailany,8,24
Tony Q. S. Quek,8,178
Shi Jin,8,178
Farhad Farokhi,8,178
Howard H. Yang,8,178
Chuan Ma,8,178
Ming Ding,8,178
Kang Wei,8,178
Karol Gregor,8,10
Jonathan Masci,8,10
Jason Cong,8,133
Guangyu Sun,8,133
Matthias Moosmann,8,151
Rex Ying,8,117
Kang Zhou,8,195
Huazhu Fu,8,195
Zaiwang Gu,8,195
Jun Cheng,8,195
Bill Dolan,8,44
Jian-Yun Nie,8,44
Margaret Mitchell,8,44
Yangfeng Ji,8,44
Chris Brockett,8,44
Michel Galley,8,44
Jiang Liu,8,195
Tianyang Zhang,8,195
Yitian Zhao,8,195
Huaying Hao,8,195
Jacqueline G O'Boyle,8,598
Robert Sahl,8,598
Michael C Stevens,8,598
Laura Miller,8,598
Michal Assaf,8,598
Kanchana Jagannathan,8,598
Wei Wu,8,522
"Ng, Ren",8,591
Alex Krizhevsky,8,4
Hellmuth Obrig,8,151
Birol Taskin,8,151
Felix Blankenburg,8,151
Sebastian Thees,8,151
Andrea Brink,8,151
Ina Krastel,8,151
Petra Ritter,8,151
Jessica A. Church,7,37
"Xu, Miao",7,261
"Niu, Gang",7,261
Nico U. F. Dosenbach,7,37
Bingbing Ni,7,26
Vimla L. Patel,7,770
Llion Jones,7,4
Jian Dong,7,26
Francis M. Miezin,7,37
Yao Zhao,7,26
"Hu, Weihua",7,261
Mohamed Abdelrahman,7,60
"Sugiyama, Masashi",7,261
Ivor W. Tsang,7,261
Jasha Droppo,7,76
Xiangyu Zhang,7,6
"Yu, Xingrui",7,261
"Yao, Quanming",7,261
"Han, Bo",7,261
Shen Dinggang,7,260
Yixin Chen,7,78
Svenja Caspers,7,18
Stoyanov Ves,7,60
Jonathan Long,7,6
Randy L. Buckner,7,120
Hervé Jégou,7,122
Md. Mostofa Ali Patwary,7,3
Narayanan Sundaram,7,3
Nadathur Satish,7,3
Kevin Swersky,7,3
Oren Rippel,7,3
Chen-Yu Lee,7,81
Andreas Stolcke,7,76
Mike Seltzer,7,76
Xuedong Huang,7,76
W. Xiong,7,76
Jack L Gallant,7,255
Xu Jia,7,868
Sarah Parisot,7,868
Marc Masana,7,868
Forrest N. Iandola,7,6
Paul M. Thompson,7,81
Andrew Hard,7,68
D Papathanassiou,7,13
B Landeau,7,13
Marco Andreetto,7,11
Tobias Weyand,7,11
Weijun Wang,7,11
Dmitry Kalenichenko,7,11
Menglong Zhu,7,11
Andrew G. Howard,7,11
Sergio Guadarrama,7,6
Pascal Frossard,7,4
Tinne Tuytelaars,7,868
Shixiang Gu,7,4
"Wu, Qingyao",7,867
"Guo, Yong",7,867
"Liu, Jing",7,867
Ling Zhao,7,143
Chloé Kiddon,7,68
Hubert Eichner,7,68
Sean Augenstein,7,68
Rajiv Mathews,7,68
Kanishka Rao,7,68
"Zhuang, Bohan",7,867
"Zhuang, Zhuangwei",7,867
"Tan, Mingkui",7,867
Gregory Slabaugh,7,868
Aleš Leonardis,7,868
Jing Jiang,7,51
Hao Li,7,249
Gang Wang,7,6
Yujiao Song,7,143
José Miguel Hernández-Lobato,7,3
Markham Andrew,7,541
Trigoni Niki,7,541
Wang Zhihua,7,541
Guo Yulan,7,541
Rosa Stefano,7,541
Xie Linhai,7,541
Darryl G. Thelen,7,58
Eran Guendelman,7,58
Chand T. John,7,58
Ayman Habib,7,58
Peter Loan,7,58
Allison S. Arnold,7,58
Scott L. Delp,7,58
Frank C. Anderson,7,58
Yang Bo,7,541
Anatole Lécuyer,7,739
Olivier Bertrand,7,739
Vincent Delannoy,7,739
Emmanuel Maby,7,739
Marco Congedo,7,739
Guillaume Gibert,7,739
Yann Renard,7,739
Amir Rahmati,7,34
Atul Prakash,7,34
Tadayoshi Kohno,7,34
Haifeng Li,7,143
Min Deng,7,143
Tao Lin,7,143
Pu Wang,7,143
Chao Zhang,7,143
Fabien Lotte,7,739
Zhi Jin,7,249
Hao Peng,7,249
Sarma B. K. Vrudhula,7,246
Yufei Ma,7,246
Abinash Mohanty,7,246
Ganesh Dasika,7,246
Peter Pastor,7,4
Hu Qingyong,7,541
U Rajendra Acharya,7,80
Sean M. O'Malley,7,11
Tor Wager,7,47
Xia Hu,7,249
Liqiang Nie,7,249
Frank Hutter,7,5
ananthram swami,7,70
somesh jha,7,70
nicolas papernot,7,70
M Joliot,7,13
N Delcroix,7,13
O Etard,7,13
Ge Li,7,249
Lili Mou,7,249
Joseph V. Hajnal,7,52
Luisa Verdoliva,7,280
Davide Cozzolino,7,280
Yixuan Li,7,78
Yu Wang,7,234
Yongpan Liu,7,234
Jishen Zhao,7,234
Cong Xu,7,234
Shuangchen Li,7,234
Ping Chi,7,234
Yuan Xie,7,234
"Schneider, Jonas",7,1
"Jonathan Ho, OpenAI",7,1
Bradly C. Stadie,7,1
"Andrychowicz, Marcin",7,1
KyungHyun Cho,7,3
Christian Brodbeck,7,229
Daniel Strohmeier,7,229
Denis A Engemann,7,229
Eric Larson,7,229
Martin Luessi,7,229
Zehan Wang,7,52
Rob Bishop,7,52
Andrew P. Aitken,7,52
Johannes Totz,7,52
Ferenc Huszár,7,52
Wenzhe Shi,7,52
Matti S Hämäläinen,7,229
Lauri Parkkonen,7,229
Alan Loddon Yuille,7,11
Yu Cao,7,246
Jae-sun Seo,7,246
G. Hinton,7,50
Jian Ma,7,6
"Zaremba, Wojciech",7,1
Sheng Wang,7,522
Fuzheng Zhang,7,611
Edunov Sergey,7,60
Li Xian,7,60
Gu Jiatao,7,60
Sean M. O&apos;Malley,7,11
J. Ashburner,7,50
C. Phillips,7,50
S. Kiebel,7,50
Xing Xie,7,611
fei wu,7,888
minghsuan yang,7,888
Earlence Fernandes,7,34
Kevin Eykholt,7,34
Ivan Evtimov,7,34
ronald m summers,7,716
lauren kim,7,716
cherry kevin,7,716
lina wei,7,888
xi li,7,888
liming zhao,7,888
Zhi-Hua Zhou,7,103
ari seff,7,716
jianhua yao,7,716
jiamin liu,7,716
le lu,7,716
holger roth,7,716
Ramesh Nallapati,7,3
Bowen Zhou,7,3
Arumugam Nallanathan,7,107
Xi Peng,7,643
Leslie Ying,7,643
Zhenghang Su,7,643
Shanshan Wang,7,643
Dan Claudiu Ciresan,7,10
Jianxiong Xiao,7,6
Fan Zhang,7,70
Vladlen Koltun,7,5
Dong Liang,7,643
Dagan Feng,7,643
Feng Liang,7,643
Shun Zhu,7,643
Kelvin Xu,7,3
Jimmy Ba,7,3
L WILLIAMS,7,794
E GORDON,7,794
A PEDUTO,7,794
P DAS,7,794
M BARTON,7,794
A KEMP,7,794
K BROWN,7,794
B LIDDELL,7,794
Yang He,7,30
Huchuan Lu,7,28
Suman Jana,7,296
David D. Cox,7,429
Kui Jia,7,81
Youngjin Yoo,7,423
"Chen, Xi",7,1
Geoff Pleiss,7,78
Christian Gaser,7,839
Raymond J. Mooney,7,6
Subhashini Venugopalan,7,6
Andrew Zalesky,7,494
Alex Fornito,7,494
S B Eickhoff,7,488
P T Fox,7,488
J B Schulz,7,488
A R Laird,7,488
K Reetz,7,488
David Sontag,7,44
I Dogan,7,488
R Langner,7,488
